,Time,Event,Part,Process,SubProcess,Resource
0,0,part_created,A0001_A83AL,Source,,
1,0,part_transferred_to_first_process,A0001_A83AL,Source,,
2,0,Process_entered,A0001_A83AL,2야드 중조공장,,
3,0,routing_ended,A0001_A83AL,2야드 중조공장,,
4,0,work_start,A0001_A83AL,2야드 중조공장,2야드 중조공장_0,
5,1,work_finish,A0001_A83AL,2야드 중조공장,2야드 중조공장_0,
6,1,part_transferred_to_out_buffer,A0001_A83AL,2야드 중조공장,2야드 중조공장_0,
7,1,part_transferred_to_next_process,A0001_A83AL,2야드 중조공장,,
8,1,Process_entered,A0001_A83AL,외부,,
9,1,routing_ended,A0001_A83AL,외부,,
10,1,work_start,A0001_A83AL,외부,외부_0,
11,2,work_finish,A0001_A83AL,외부,외부_0,
12,2,part_transferred_to_out_buffer,A0001_A83AL,외부,외부_0,
13,2,part_transferred_to_next_process,A0001_A83AL,외부,,
14,2,Process_entered,A0001_A83AL,외부,,
15,2,routing_ended,A0001_A83AL,외부,,
16,2,work_start,A0001_A83AL,외부,외부_1,
17,7,work_finish,A0001_A83AL,외부,외부_1,
18,7,part_transferred_to_out_buffer,A0001_A83AL,외부,외부_1,
19,7,part_transferred_to_next_process,A0001_A83AL,외부,,
20,7,Process_entered,A0001_A83AL,외부,,
21,7,routing_ended,A0001_A83AL,외부,,
22,7,work_start,A0001_A83AL,외부,외부_2,
23,9,part_created,A0001_A830A,Source,,
24,9,part_transferred_to_first_process,A0001_A830A,Source,,
25,9,Process_entered,A0001_A830A,외부,,
26,9,routing_ended,A0001_A830A,외부,,
27,9,work_start,A0001_A830A,외부,외부_3,
28,12,work_finish,A0001_A83AL,외부,외부_2,
29,12,part_transferred_to_out_buffer,A0001_A83AL,외부,외부_2,
30,12,part_transferred_to_next_process,A0001_A83AL,외부,,
31,12,Process_entered,A0001_A83AL,외부,,
32,12,routing_ended,A0001_A83AL,외부,,
33,12,work_start,A0001_A83AL,외부,외부_4,
34,13,part_created,A0001_A61AL,Source,,
35,13,part_transferred_to_first_process,A0001_A61AL,Source,,
36,13,Process_entered,A0001_A61AL,2야드 중조공장,,
37,13,routing_ended,A0001_A61AL,2야드 중조공장,,
38,13,work_start,A0001_A61AL,2야드 중조공장,2야드 중조공장_1,
39,14,work_finish,A0001_A61AL,2야드 중조공장,2야드 중조공장_1,
40,14,part_transferred_to_out_buffer,A0001_A61AL,2야드 중조공장,2야드 중조공장_1,
41,14,part_transferred_to_next_process,A0001_A61AL,2야드 중조공장,,
42,14,Process_entered,A0001_A61AL,외부,,
43,14,routing_ended,A0001_A61AL,외부,,
44,14,work_start,A0001_A61AL,외부,외부_5,
45,15,work_finish,A0001_A61AL,외부,외부_5,
46,15,part_transferred_to_out_buffer,A0001_A61AL,외부,외부_5,
